
Sync-Point 0, Time: 0, Nf = 0000110000, Systemstep: 0
Sync-Point 74, Time: 0.0136719, Nf = 0000016076, Systemstep: 0.000244141

Sync-Point 75, Time: 0.0141602, Nf = 0000002776, Systemstep: 0.000488281

Sync-Point 76, Time: 0.0146484, Nf = 0000007672, Systemstep: 0.000488281

Sync-Point 77, Time: 0.0151367, Nf = 0000002456, Systemstep: 0.000488281

Sync-Point 78, Time: 0.015625, Nf = 0000099998, Systemstep: 0.000488281

Sync-Point 79, Time: 0.0161133, Nf = 0000002132, Systemstep: 0.000488281

Sync-Point 80, Time: 0.0166016, Nf = 0000007500, Systemstep: 0.000488281

Sync-Point 81, Time: 0.0170898, Nf = 0000001840, Systemstep: 0.000488281

Sync-Point 82, Time: 0.0175781, Nf = 0000016074, Systemstep: 0.000488281

Sync-Point 83, Time: 0.0180664, Nf = 0000001516, Systemstep: 0.000488281

Sync-Point 84, Time: 0.0185547, Nf = 0000007362, Systemstep: 0.000488281

Sync-Point 85, Time: 0.019043, Nf = 0000001216, Systemstep: 0.000488281

Sync-Point 86, Time: 0.0195312, Nf = 0000038038, Systemstep: 0.000488281

Sync-Point 87, Time: 0.0200195, Nf = 0000000968, Systemstep: 0.000488281

Sync-Point 88, Time: 0.0205078, Nf = 0000007200, Systemstep: 0.000488281

Sync-Point 89, Time: 0.0209961, Nf = 0000000762, Systemstep: 0.000488281

Sync-Point 90, Time: 0.0214844, Nf = 0000016072, Systemstep: 0.000488281

Sync-Point 91, Time: 0.0219727, Nf = 0000000596, Systemstep: 0.000488281

Sync-Point 92, Time: 0.0224609, Nf = 0000007078, Systemstep: 0.000488281

Sync-Point 93, Time: 0.0229492, Nf = 0000000438, Systemstep: 0.000488281

Sync-Point 94, Time: 0.0234375, Nf = 0000068738, Systemstep: 0.000488281

Sync-Point 95, Time: 0.0239258, Nf = 0000000342, Systemstep: 0.000488281

Sync-Point 96, Time: 0.0244141, Nf = 0000006824, Systemstep: 0.000488281

Sync-Point 97, Time: 0.0249023, Nf = 0000000226, Systemstep: 0.000488281

Sync-Point 98, Time: 0.0253906, Nf = 0000016018, Systemstep: 0.000488281

Sync-Point 99, Time: 0.0258789, Nf = 0000000160, Systemstep: 0.000488281

Sync-Point 100, Time: 0.0263672, Nf = 0000006596, Systemstep: 0.000488281

Sync-Point 101, Time: 0.0268555, Nf = 0000000078, Systemstep: 0.000488281

Sync-Point 102, Time: 0.0273438, Nf = 0000038010, Systemstep: 0.000488281

Sync-Point 103, Time: 0.027832, Nf = 0000000034, Systemstep: 0.000488281

Sync-Point 104, Time: 0.0283203, Nf = 0000006386, Systemstep: 0.000488281

Sync-Point 105, Time: 0.0288086, Nf = 0000000024, Systemstep: 0.000488281

Sync-Point 106, Time: 0.0292969, Nf = 0000016020, Systemstep: 0.000488281

Sync-Point 107, Time: 0.0297852, Nf = 0000000016, Systemstep: 0.000488281

Sync-Point 108, Time: 0.0302734, Nf = 0000006162, Systemstep: 0.000488281

Sync-Point 109, Time: 0.0307617, Nf = 0000000014, Systemstep: 0.000488281

Sync-Point 110, Time: 0.03125, Nf = 0000109776, Systemstep: 0.000488281

Sync-Point 111, Time: 0.0317383, Nf = 0000000010, Systemstep: 0.000488281

Sync-Point 112, Time: 0.0322266, Nf = 0000005808, Systemstep: 0.000488281

Sync-Point 113, Time: 0.0327148, Nf = 0000000008, Systemstep: 0.000488281

Sync-Point 114, Time: 0.0332031, Nf = 0000015972, Systemstep: 0.000488281

Sync-Point 115, Time: 0.0336914, Nf = 0000000006, Systemstep: 0.000488281

Sync-Point 116, Time: 0.0341797, Nf = 0000005426, Systemstep: 0.000488281

Sync-Point 117, Time: 0.034668, Nf = 0000000002, Systemstep: 0.000488281

Sync-Point 118, Time: 0.0351562, Nf = 0000038004, Systemstep: 0.000488281

Sync-Point 119, Time: 0.0361328, Nf = 0000004840, Systemstep: 0.000976562

Sync-Point 120, Time: 0.0371094, Nf = 0000015886, Systemstep: 0.000976562

Sync-Point 121, Time: 0.0380859, Nf = 0000004314, Systemstep: 0.000976562

Sync-Point 122, Time: 0.0390625, Nf = 0000068746, Systemstep: 0.000976562

Sync-Point 123, Time: 0.0400391, Nf = 0000003712, Systemstep: 0.000976562

Sync-Point 124, Time: 0.0410156, Nf = 0000015772, Systemstep: 0.000976562

Sync-Point 125, Time: 0.0419922, Nf = 0000003040, Systemstep: 0.000976562

Sync-Point 126, Time: 0.0429688, Nf = 0000037958, Systemstep: 0.000976562

Sync-Point 127, Time: 0.0439453, Nf = 0000002452, Systemstep: 0.000976562

Sync-Point 128, Time: 0.0449219, Nf = 0000015670, Systemstep: 0.000976562

Sync-Point 129, Time: 0.0458984, Nf = 0000001928, Systemstep: 0.000976562

Sync-Point 130, Time: 0.046875, Nf = 0000099982, Systemstep: 0.000976562

Sync-Point 131, Time: 0.0478516, Nf = 0000001526, Systemstep: 0.000976562

Sync-Point 132, Time: 0.0488281, Nf = 0000015416, Systemstep: 0.000976562

Sync-Point 133, Time: 0.0498047, Nf = 0000001166, Systemstep: 0.000976562

Sync-Point 134, Time: 0.0507812, Nf = 0000037960, Systemstep: 0.000976562

Sync-Point 135, Time: 0.0517578, Nf = 0000000918, Systemstep: 0.000976562

Sync-Point 136, Time: 0.0527344, Nf = 0000015262, Systemstep: 0.000976562

Sync-Point 137, Time: 0.0537109, Nf = 0000000744, Systemstep: 0.000976562

Sync-Point 138, Time: 0.0546875, Nf = 0000068740, Systemstep: 0.000976562

Sync-Point 139, Time: 0.0556641, Nf = 0000000546, Systemstep: 0.000976562

Sync-Point 140, Time: 0.0566406, Nf = 0000015058, Systemstep: 0.000976562

Sync-Point 141, Time: 0.0576172, Nf = 0000000414, Systemstep: 0.000976562

Sync-Point 142, Time: 0.0585938, Nf = 0000037936, Systemstep: 0.000976562

Sync-Point 143, Time: 0.0595703, Nf = 0000000284, Systemstep: 0.000976562

Sync-Point 144, Time: 0.0605469, Nf = 0000014810, Systemstep: 0.000976562

Sync-Point 145, Time: 0.0615234, Nf = 0000000204, Systemstep: 0.000976562

Sync-Point 146, Time: 0.0625, Nf = 0000110000, Systemstep: 0.000976562

Sync-Point 147, Time: 0.0634766, Nf = 0000000120, Systemstep: 0.000976562

Sync-Point 148, Time: 0.0644531, Nf = 0000014618, Systemstep: 0.000976562

Sync-Point 149, Time: 0.0654297, Nf = 0000000090, Systemstep: 0.000976562

Sync-Point 150, Time: 0.0664062, Nf = 0000037880, Systemstep: 0.000976562

Sync-Point 151, Time: 0.0673828, Nf = 0000000072, Systemstep: 0.000976562

Sync-Point 152, Time: 0.0683594, Nf = 0000014288, Systemstep: 0.000976562

Sync-Point 153, Time: 0.0693359, Nf = 0000000056, Systemstep: 0.000976562

Sync-Point 154, Time: 0.0703125, Nf = 0000068732, Systemstep: 0.000976562

Sync-Point 155, Time: 0.0712891, Nf = 0000000040, Systemstep: 0.000976562

Sync-Point 156, Time: 0.0722656, Nf = 0000013882, Systemstep: 0.000976562

Sync-Point 157, Time: 0.0732422, Nf = 0000000028, Systemstep: 0.000976562

Sync-Point 158, Time: 0.0742188, Nf = 0000037816, Systemstep: 0.000976562

Sync-Point 159, Time: 0.0751953, Nf = 0000000022, Systemstep: 0.000976562

Sync-Point 160, Time: 0.0761719, Nf = 0000013328, Systemstep: 0.000976562

Sync-Point 161, Time: 0.0771484, Nf = 0000000006, Systemstep: 0.000976562

Sync-Point 162, Time: 0.078125, Nf = 0000099982, Systemstep: 0.000976562

Sync-Point 163, Time: 0.0791016, Nf = 0000000008, Systemstep: 0.000976562

Sync-Point 164, Time: 0.0800781, Nf = 0000012690, Systemstep: 0.000976562

Sync-Point 165, Time: 0.0810547, Nf = 0000000006, Systemstep: 0.000976562

Sync-Point 166, Time: 0.0820312, Nf = 0000037724, Systemstep: 0.000976562

Sync-Point 167, Time: 0.0830078, Nf = 0000000002, Systemstep: 0.000976562

Sync-Point 168, Time: 0.0839844, Nf = 0000012024, Systemstep: 0.000976562

Sync-Point 169, Time: 0.0849609, Nf = 0000000002, Systemstep: 0.000976562

Sync-Point 170, Time: 0.0859375, Nf = 0000068718, Systemstep: 0.000976562

Sync-Point 171, Time: 0.0869141, Nf = 0000000002, Systemstep: 0.000976562

Sync-Point 172, Time: 0.0878906, Nf = 0000011316, Systemstep: 0.000976562

Sync-Point 173, Time: 0.0898438, Nf = 0000037540, Systemstep: 0.00195312

Sync-Point 174, Time: 0.0917969, Nf = 0000010676, Systemstep: 0.00195312

Sync-Point 175, Time: 0.0927734, Nf = 0000000002, Systemstep: 0.000976562

Sync-Point 176, Time: 0.09375, Nf = 0000109776, Systemstep: 0.000976562

Sync-Point 177, Time: 0.0947266, Nf = 0000000002, Systemstep: 0.000976562

Sync-Point 178, Time: 0.0957031, Nf = 0000010078, Systemstep: 0.000976562

Sync-Point 179, Time: 0.0976562, Nf = 0000037326, Systemstep: 0.00195312

Sync-Point 180, Time: 0.0996094, Nf = 0000009572, Systemstep: 0.00195312

Sync-Point 181, Time: 0.101562, Nf = 0000068712, Systemstep: 0.00195312

Sync-Point 182, Time: 0.103516, Nf = 0000009210, Systemstep: 0.00195312

Sync-Point 183, Time: 0.105469, Nf = 0000037106, Systemstep: 0.00195312

Sync-Point 184, Time: 0.107422, Nf = 0000008958, Systemstep: 0.00195312

